bribe_title,name,transaction,amount,date,location,views
Pressuring to give bribe.,,"Traffic Fines, Penalties, Rules","Paid INR 15,000",29-Nov-19,"Patiala
                      , Punjab",100 views
Address  reasons,Passport,Police Clearance Certificate,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",102 views
House no is not mentioned in address that reasons,,,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",92 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Bribe asked for certificates,Education,College Leaving Certificate,Paid INR 100,01-Dec-19,"Muzaffarpur
                      , Bihar",22 views
Registration of flat,,,"Paid INR 11,000",01-Dec-19,"Bangalore
                      , Karnataka",42 views
Useless RTO people name PRASAD who is a helper there not even an officer,,Others,"Paid INR 10,000",30-Nov-19,"Chittoor
                      , Andhra Pradesh",68 views
Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard,,Employee Grievances,"Paid INR 50,000",30-Nov-19,"Chennai
                      , Tamil Nadu",104 views
Pressuring to give bribe.,,"Traffic Fines, Penalties, Rules","Paid INR 15,000",29-Nov-19,"Patiala
                      , Punjab",100 views
Address  reasons,Passport,Police Clearance Certificate,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",102 views
House no is not mentioned in address that reasons,,,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",92 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Registration of flat,,,"Paid INR 11,000",01-Dec-19,"Bangalore
                      , Karnataka",42 views
Useless RTO people name PRASAD who is a helper there not even an officer,,Others,"Paid INR 10,000",30-Nov-19,"Chittoor
                      , Andhra Pradesh",68 views
Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard,,Employee Grievances,"Paid INR 50,000",30-Nov-19,"Chennai
                      , Tamil Nadu",104 views
Pressuring to give bribe.,,"Traffic Fines, Penalties, Rules","Paid INR 15,000",29-Nov-19,"Patiala
                      , Punjab",100 views
Address  reasons,Passport,Police Clearance Certificate,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",102 views
House no is not mentioned in address that reasons,,,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",92 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
Useless RTO people name PRASAD who is a helper there not even an officer,,Others,"Paid INR 10,000",30-Nov-19,"Chittoor
                      , Andhra Pradesh",68 views
Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard,,Employee Grievances,"Paid INR 50,000",30-Nov-19,"Chennai
                      , Tamil Nadu",104 views
Pressuring to give bribe.,,"Traffic Fines, Penalties, Rules","Paid INR 15,000",29-Nov-19,"Patiala
                      , Punjab",100 views
Address  reasons,Passport,Police Clearance Certificate,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",102 views
House no is not mentioned in address that reasons,,,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",92 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard,,Employee Grievances,"Paid INR 50,000",30-Nov-19,"Chennai
                      , Tamil Nadu",104 views
Pressuring to give bribe.,,"Traffic Fines, Penalties, Rules","Paid INR 15,000",29-Nov-19,"Patiala
                      , Punjab",100 views
Address  reasons,Passport,Police Clearance Certificate,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",102 views
House no is not mentioned in address that reasons,,,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",92 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Pressuring to give bribe.,,"Traffic Fines, Penalties, Rules","Paid INR 15,000",29-Nov-19,"Patiala
                      , Punjab",100 views
Address  reasons,Passport,Police Clearance Certificate,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",102 views
House no is not mentioned in address that reasons,,,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",92 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Address  reasons,Passport,Police Clearance Certificate,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",102 views
House no is not mentioned in address that reasons,,,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",92 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
House no is not mentioned in address that reasons,,,"Paid INR 1,000",29-Nov-19,"Pune
                      , Maharashtra",92 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Driving license related,,Services,"Paid INR 1,500",29-Nov-19,"Chikballapur
                      , Karnataka",105 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid a bribe to get encumberance certificate,,Certificates,Paid INR 500,28-Nov-19,"Bangalore
                      , Karnataka",123 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Toll away of vehicles,,"Traffic Fines, Penalties, Rules",Paid INR 650,28-Nov-19,"Bangalore
                      , Karnataka",141 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Paid in  the name of lawyer fees,,Property Registration,"Paid INR 34,000",28-Nov-19,"Bangalore
                      , Karnataka",126 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",,"Traffic Fines, Penalties, Rules","Paid INR 17,000",28-Nov-19,"New Delhi
                      , Delhi",112 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
Property Registration,,Property Registration,"Paid INR 9,500",27-Nov-19,"Bangalore
                      , Karnataka",156 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
Kidny donor,,Post and Parcel,Paid INR 2,27-Nov-19,"Koratla
                      , Telangana",141 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Indira Gandhi International Airport terminal 3,Airports,Excess Baggage,"Paid INR 2,500",26-Nov-19,"New Delhi
                      , Delhi",157 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
They asking me bribe for community certificate,,Certificates,Paid INR 100,26-Nov-19,"Thiruvarur
                      , Tamil Nadu",153 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
Birhalganj police asking for bribe,,FIR and Complaints,"Paid INR 10,000",26-Nov-19,"Gorakhpur
                      , Uttar Pradesh",132 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
Paid bribe for bike towed from parking place,,"Traffic Fines, Penalties, Rules","Paid INR 1,000",24-Nov-19,"Bangalore
                      , Karnataka",245 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Over speeding,,"Traffic Fines, Penalties, Rules",Paid INR 350,24-Nov-19,"Bangalore
                      , Karnataka",216 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
Traffic Cop Took Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 150,23-Nov-19,"Chennai
                      , Tamil Nadu",206 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Chennai
                      , Tamil Nadu",204 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,00,000",23-Nov-19,"Bangalore
                      , Karnataka",187 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Kolkata
                      , West Bengal",171 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Hyderabad
                      , Telangana",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,00,000",23-Nov-19,"Mumbai
                      , Maharashtra",146 views
Department not moving the fields closing with out any information,Revenue,Caste Certificate,"Paid INR 1,000",22-Nov-19,"Tumkur
                      , Karnataka",141 views
Corruption,,Land Registration,"Paid INR 8,000",23-Nov-19,"Yellandu
                      , Telangana",223 views
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",,Verification and Certificates,"Paid INR 1,000",23-Nov-19,"Pollachi
                      , Tamil Nadu",212 views
